model,embed_type,BigramShift,CR,Depth,MPQA,MR,MRPC,SUBJ,SST2,SST5,SICKEntailment,SubjNumber,Tense,TREC
SG-Negative_5-Features_200-Window_3-Epochs_30-MEAN ,MEAN ,49.55 ,76.37 ,31.47 ,86.76 ,70.77 ,71.77 ,87.52 ,73.37 ,39.55 ,77.39 ,76.84 ,76.79 ,80.8
SG-Negative_5-Features_100-Window_5-Epochs_30-MEAN ,MEAN ,49.8 ,74.89 ,30.2 ,86.06 ,69.16 ,71.71 ,85.58 ,70.62 ,37.96 ,74.67 ,75.16 ,75.56 ,73.8
SG-Negative_5-Features_100-Window_5-Epochs_30-SUM ,SUM ,49.97 ,74.62 ,31.07 ,85.58 ,68.67 ,72.12 ,85.88 ,72.38 ,37.83 ,73.27 ,75.69 ,75.4 ,72.0
SG-Negative_5-Features_200-Window_3-Epochs_30-SUM ,SUM ,49.75 ,75.31 ,32.18 ,86.56 ,70.35 ,71.59 ,87.26 ,74.9 ,39.05 ,74.87 ,76.87 ,76.62 ,79.0
SG-Negative_5-Features_100-Window_5-Epochs_5-SUM ,SUM ,49.78 ,73.67 ,30.98 ,85.49 ,68.02 ,71.42 ,85.28 ,71.33 ,37.38 ,72.62 ,75.03 ,74.69 ,75.0
SG-Negative_5-Features_100-Window_5-Epochs_50-SUM ,SUM ,50.13 ,74.36 ,30.61 ,85.71 ,68.28 ,72.12 ,86.06 ,72.1 ,38.1 ,73.66 ,75.48 ,75.07 ,72.8
SG-Negative_5-Features_300-Window_3-Epochs_30-SUM ,SUM ,49.83 ,76.08 ,32.26 ,86.75 ,70.64 ,68.87 ,88.14 ,75.56 ,38.14 ,74.45 ,76.74 ,76.93 ,81.4
SG-Negative_5-Features_100-Window_3-Epochs_10-SUM ,SUM ,50.51 ,74.04 ,31.87 ,85.27 ,68.32 ,72.41 ,85.27 ,71.77 ,36.88 ,73.01 ,75.39 ,75.52 ,76.2
SG-Negative_5-Features_100-Window_3-Epochs_30-SUM ,SUM ,50.05 ,73.67 ,31.76 ,85.84 ,68.79 ,71.71 ,85.71 ,72.16 ,38.1 ,74.3 ,75.5 ,76.37 ,72.6
SG-Negative_5-Features_100-Window_3-Epochs_5-SUM ,SUM ,50.06 ,73.85 ,31.85 ,85.52 ,68.08 ,71.13 ,85.46 ,71.28 ,35.43 ,73.9 ,75.04 ,74.83 ,74.6
SG-Negative_5-Features_100-Window_3-Epochs_50-MEAN ,MEAN ,49.8 ,74.09 ,30.18 ,86.13 ,68.52 ,72.29 ,85.53 ,71.28 ,38.01 ,74.37 ,75.2 ,76.58 ,76.4
SG-Negative_5-Features_100-Window_5-Epochs_50-MEAN ,MEAN ,50.21 ,74.15 ,29.84 ,85.94 ,69.0 ,71.71 ,86.01 ,70.62 ,37.83 ,75.77 ,74.88 ,75.25 ,74.4
SG-Negative_5-Features_100-Window_3-Epochs_10-MEAN ,MEAN ,50.81 ,73.99 ,30.96 ,86.16 ,68.35 ,70.96 ,85.04 ,70.35 ,36.7 ,74.2 ,74.95 ,75.56 ,78.0
SG-Negative_5-Features_100-Window_5-Epochs_10-MEAN ,MEAN ,50.02 ,74.04 ,30.68 ,85.83 ,68.77 ,71.65 ,85.17 ,70.84 ,38.19 ,74.95 ,74.74 ,75.28 ,76.0
SG-Negative_5-Features_100-Window_3-Epochs_50-SUM ,SUM ,50.03 ,73.62 ,31.2 ,85.55 ,68.68 ,71.83 ,85.83 ,72.05 ,37.69 ,73.13 ,75.58 ,76.75 ,72.0
SG-Negative_5-Features_100-Window_5-Epochs_10-SUM ,SUM ,49.55 ,74.43 ,31.07 ,85.55 ,69.15 ,72.75 ,85.43 ,71.77 ,37.29 ,73.66 ,75.2 ,75.35 ,73.2
SG-Negative_5-Features_100-Window_5-Epochs_5-MEAN ,MEAN ,50.07 ,74.04 ,30.33 ,86.21 ,68.41 ,72.06 ,85.36 ,70.95 ,36.24 ,74.02 ,74.94 ,74.69 ,78.0
SG-Negative_5-Features_300-Window_3-Epochs_30-MEAN ,MEAN ,49.96 ,77.06 ,32.01 ,87.26 ,71.26 ,71.07 ,88.22 ,74.24 ,39.19 ,77.39 ,76.93 ,77.12 ,83.2
SG-Negative_5-Features_100-Window_3-Epochs_30-MEAN ,MEAN ,50.62 ,73.56 ,30.81 ,86.05 ,68.65 ,71.71 ,85.33 ,71.44 ,37.1 ,75.89 ,75.08 ,76.26 ,75.6
SG-Negative_5-Features_100-Window_3-Epochs_5-MEAN ,MEAN ,50.35 ,73.99 ,30.92 ,86.19 ,67.61 ,72.06 ,85.67 ,70.4 ,36.61 ,74.77 ,74.57 ,74.66 ,78.4
